clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
0;0.32755609;0.08113921;1774039818;1899587615;14007708446;4389094664;0
1;1746117806;0.04202401;3689035316;698945779.4;13171409310;443578193.3;0
2;2031657489;0.0225424;2822077074;989937520.4;27247277269;3319584587;0
3;0.07027584;0.01555444;9459036129;4875856185;61238818029;1940670032;0
4;2929977117;0.01556941;3638740923;1003240261;18783251217;7693760120;0
5;198922599;0.13716945;2257643678;980900029.2;7957063587;5015963001;0
6;2246551954;0.0949932;3001849202;1071067310;11064825337;1088509194;0
7;3155784322;1736594433;2807439035;2213018695;28244734883;6478696406;0
8;1346334927;0.05450736;1777142603;6002812506;57756538143;5250800682;0
9;4189818083;2665771427;1472790911;2982635354;19117181771;18206389110;0
10;2230348519;0.10400385;9902786033;1690670006;22758921127;6927583268;0
11;3190631979;0.08180545;4437699617;451468916.5;13100372944;2042807742;0
12;2905832083;0.08937036;321165738;1780826403;16822653935;3620583901;0
13;2126378571;0.08249836;2637020969;3043281863;41872888413;3354202891;0
14;4950427299;2976541616;1757800885;6942003028;38919141667;16826925026;0
15;0.11827216;0.02397944;941858749;6486754324;73167713990;5999998198;0
16;2395394427;2274981272;3967279841;1247439575;20860451891;6607670459;0
17;2697782651;9763494042;2433529672;1100554434;5103920550;5107303881;0
18;4672490595;0.13561589;2107820951;1042015622;15900590083;3416525895;0
19;4128905705;9906551978;1676024963;2949927417;28584347415;9280124163;0
20;0.07431136;0.00667204;0.23719141;7546137662;62247604366;1794223681;0
21;3963261156;9928104977;350437501;2006593482;24979439404;2688329047;0
22;3653842231;0.11286581;1109991672;1036001249;3423706723;2407393042;0
23;4817495924;0.11845184;2500595979;1734333819;22714239243;2578205517;0
24;4202618832;0.00766821;2446327172;2718963074;30672860860;8193827454;0
25;0.07200541;0.01637056;9921299504;5549800086;65581447671;2097541995;0
26;5280491491;0.02271169;1717062579;2152127457;31830508518;2170907225;0
27;3960559434;0.09203936;0.12172656;1141748391;5861511358;1640854100;0
28;1304543333;0.06967236;3458548309;726878619.4;30834784593;1612502736;0
29;3637034669;0.00553604;9962404765;3015271497;28585671276;6137687589;0
30;1022945612;0.0498806;2524362428;1325331362;17170675207;2506325952;0
31;4068063028;0.0704954;3926459562;1333022847;9843754094;2054852353;0
32;4000211257;0.06684204;2929100724;2552784820;26062059332;3075387418;0
33;0.10261461;0.02160561;4213871983;4428968522;66609911787;961013068.2;0
34;3763983486;0.01045304;2281894467;2167836746;20524855240;4360964589;0
35;3639860368;0.10181189;4797276067;1823137170;6982305160;3660409242;0
36;4726169606;0.09415024;2457093307;1403605677;12109590876;1454440234;0
37;4462221213;0.00948401;1779452993;2030894297;25028423820;5530590179;0
38;0.08769076;0.02574261;2001857692;4879418736;63766964182;2790616271;0
